alimento,categoria,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,fibra_g,acido_folico_ug,calcio_mg,hierro_mg,sodio_mg,azucar_equiv_g,indice_glucemico,carga_glucemica,clave,colesterol_mg,vitamina_a_ug_re,selenio_ug,categoria_grasa,azucar_por_equivalente_g,categoria_leche,peso_bruto_redondeado_g,hidratos_carbono_g,acido_ascorbico_mg,hierro_no_hem_mg,potasio_mg,fosforo_mg,indice_glicemico,carga_glicemica,etanol_g,subcategoria,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,grupo,generico,cantidad,verdura,fruta,cereal_sin_grasa,cereal_con_grasa,leguminosa,muy_bajo_aporte_grasa,bajo_aporte_grasa,moderado_aporte_grasa,alto_aporte_grasa,leche_descremada,leche_semidescremada,leche_entera,leche_con_azucar,grasa_sin_proteina,grasa_con_proteina,azucar,azucar_con_grasa,etanol,alimentos_libres_energia,kcal,proteina,lipidos,hidratos_carbono,restaurante,producto,kcal_por_equivalentes,aoambag,aoabag,aoamag,azucar_sin_grasa,verduras,frutas,leguminosas,libre
Camote con naranja,sin_grasa,0.2,taza,40,40,61,0.2,0,15.2,0,0,3.3,0.1,4.2,NA,NA,NA,1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camote en dulce,sin_grasa,0.2,taza,52,52,71,0.4,1.7,14.5,1.2,5.9,13.4,0.6,36.6,NA,NA,NA,1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camote largo,sin_grasa,0.25,pieza,75,59,73,0.8,0.5,16.6,1.7,8.2,25.2,1.4,5.9,NA,NA,NA,1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camote poblano (dulce),sin_grasa,0.75,pieza,45,45,62,0.4,1.5,12.6,1.1,5.1,11.6,0.5,31.7,NA,NA,NA,1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canelones,sin_grasa,4,pieza,20,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,0.4,NA,NA,NA,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cáscara de papa cruda,sin_grasa,2.5,taza,125,125,73,3.2,0.1,15.6,3.1,21.3,37.5,4.1,12.5,NA,NA,NA,1061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebada,sin_grasa,20,g,20,20,69,2.2,0.5,15.3,2.1,4.6,5.4,0.4,1.3,0.1,NA,NA,1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebada perla cocida,sin_grasa,0.3333333333333333,taza,52,52,64,1.2,0.2,14.8,2,8.3,5.7,0.7,1.7,NA,25,13.1,1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centeno,sin_grasa,5,cucharadita,22,22,72,2.6,0.4,15.9,0.4,0,8.2,0.8,0,NA,41,8.9,1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal Avena Flakes,sin_grasa,0.75,taza,19,19,68,1.9,1.1,12.6,1.9,0,0,0,53.1,2.8,NA,NA,1065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal Chewy para Niños varios sabores,sin_grasa,0.5,pieza,14,14,52,0.9,0.7,10.5,1.2,0,0,0,46.7,3.3,NA,NA,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal con almendras y pasas,sin_grasa,0.3333333333333333,taza,19,19,70,1.5,0.7,16.5,1.6,33.3,9.3,2.1,100,4,NA,NA,1067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de arroz,sin_grasa,0.5,taza,17,17,67,1.4,0.5,14.1,1.1,2.5,9.1,7.9,2,0.2,NA,NA,1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de arroz inflado con chocolate,sin_grasa,0.5,taza,16,16,62,1.1,0.6,13.8,1.2,3,4.5,0.2,1.9,1.5,82,13.1,1069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de avena con maple,sin_grasa,0.3333333333333333,taza,27,27,65,4.6,1.9,17.6,4.1,13.8,15.5,1.4,0.9,NA,NA,NA,1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de avena integral seco,sin_grasa,0.3333333333333333,taza,19,19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,68.3,3.1,NA,NA,1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de galletas de chispa de chocolate,sin_grasa,0.5,taza,15,15,60,0.5,0.8,13,0.6,0,50,2.3,85,NA,NA,NA,1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de maíz reventado con azúcar,sin_grasa,0.5,taza,16,16,59,0.5,0.5,13.6,0.6,0,25.8,9.9,620,NA,NA,NA,1073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de maíz reventado sabor chocolate y crema de cacahuate,sin_grasa,0.3333333333333333,taza,14,14,61,0.9,1.6,10.6,0.6,0,46.7,2.3,93.3,NA,NA,NA,1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de salvado de trigo,sin_grasa,0.3333333333333333,taza,21,21,54,2.6,0.7,15.3,6.7,66.7,66.7,3,189.3,4,42,8.7,1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de trigo con canela,sin_grasa,0.3333333333333333,taza,13,13,58,0.4,1.6,10.7,0.4,44.4,17.8,2,93.3,4.4,NA,NA,1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal de trigo sabor frutas,sin_grasa,0.5,taza,15,15,60,0.5,0.8,13,0,50,10,2.1,100,6.5,69,10.4,1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal integral con pasitas,sin_grasa,0.3333333333333333,taza,20,20,66,2,0.5,15.7,2.7,33.3,11.7,1.5,130,6,42,8.5,1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal Multibran Flakes,sin_grasa,0.75,taza,19,19,65,2.4,1.3,11.1,2.6,0,0,0,90.6,0.4,NA,NA,1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal Multibran Pasas,sin_grasa,0.75,taza,19,19,66,2,1,12.1,2.3,0,0,0,71.9,3.9,NA,NA,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal multigrano,sin_grasa,0.25,taza,20,20,67,2.3,0.5,14.7,2.4,5.5,7,0.6,0.5,0.1,NA,NA,1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal sin azúcar,sin_grasa,0.5,taza,14,14,51,1.2,0.1,12,0.6,50,0.5,4.1,152,1,NA,NA,1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Codito crudo,sin_grasa,20,g,20,20,74,2.5,0.2,15,0.1,5,5.4,0.3,0.4,NA,NA,NA,1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coditos con crema deshidratados,sin_grasa,1.5,cucharada,15,15,61,1.9,1.5,9.6,0,0,0,0.2,122.9,NA,NA,NA,1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Couscous,sin_grasa,0.3333333333333333,taza,52,52,58,2,0.1,12,0.7,NA,4.3,0.2,2.6,0.1,NA,NA,1085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepas,sin_grasa,2,pieza,30,30,69,1.6,1,13.1,0.5,0.2,0.3,0.3,147.5,NA,NA,NA,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepas para rellenar,sin_grasa,2,pieza,30,30,69,2.3,1.4,11.6,0.3,0.2,0.3,0.3,116.4,NA,NA,NA,1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepas saladas,sin_grasa,2,pieza,30,30,69,1.6,1,13.1,0.5,0.2,0.3,0.3,147.5,NA,NA,NA,1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croutones,sin_grasa,0.5,taza,15,15,61,1.8,1,11.1,0.8,3.5,11.5,0.6,104.5,NA,NA,NA,1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuadritos de avena,sin_grasa,0.3333333333333333,taza,19,19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,68.3,3.1,NA,NA,1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuadritos de avena con salvado,sin_grasa,0.3333333333333333,taza,19,19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,68.3,3.1,NA,NA,1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cúrcuma,sin_grasa,160,g,160,138,73,5.6,0,13.2,1.7,0,70.2,16.8,0,NA,NA,NA,1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote amarillo cocido,sin_grasa,1.5,pieza,174,66,71,2.2,0.8,16.6,1.9,30.4,1.6,0.3,0,2.7,53,35,1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote amarillo congelado,sin_grasa,1.5,pieza,188,71,70,2.3,0.6,16.7,2,27.9,2.9,0.5,2.3,NA,47,33.5,1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote amarillo crudo,sin_grasa,1.33,pieza,186,71,61,2.3,0.9,17.7,2,32.7,1.7,0.4,12.1,NA,NA,NA,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote amarillo desgranado cocido,sin_grasa,0.5,taza,83,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,4.2,2.6,NA,NA,1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote amarillo desgranado crudo,sin_grasa,0.5,taza,83,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,4.2,2.6,NA,NA,1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote amarillo enlatado,sin_grasa,0.5,taza,82,82,66,2.1,0.8,15.2,1.6,40,4,0.7,175,2.3,NA,NA,1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote blanco cocido,sin_grasa,1.5,pieza,215,82,70,2.6,1,15.5,2.2,37.5,1.6,0.4,12.2,2.6,59,48.1,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote blanco desgranado,sin_grasa,0.5,taza,83,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,4.2,2.6,NA,NA,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote crudo,sin_grasa,1.5,pieza,215,82,70,2.6,1,15.5,2.2,37.5,1.6,0.4,12.2,2.6,NA,NA,1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote desgranado,sin_grasa,0.5,taza,83,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,4.2,2.6,NA,NA,1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elote enlatado,sin_grasa,0.5,taza,82,82,66,2.1,0.8,15.2,1.6,40,4,0.7,175,2.3,46,37.7,1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English muffin,sin_grasa,0.5,pieza,29,29,67,2.2,0.5,13.1,0.8,10.5,49.5,0.7,132,NA,77,21.9,1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espagueti cocido,sin_grasa,0.3333333333333333,taza,46,46,57,2.5,0.2,12.3,2.1,2.3,6.9,0.5,1.4,0.4,44,20.3,1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espagueti con espinaca cocido,sin_grasa,0.3333333333333333,taza,47,47,61,2.1,0.3,12.2,0,5.7,14,0.5,6.7,NA,NA,NA,1106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espagueti crudo,sin_grasa,20,g,20,20,70,2.9,0.3,15,0.1,11.4,8,0.7,1.6,NA,NA,NA,1107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espagueti integral cocido,sin_grasa,0.3333333333333333,taza,46,46,57,2.5,0.3,12.3,2.1,2.3,6.9,0.5,1.3,NA,NA,NA,1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espaguetti integral crudo,sin_grasa,20,g,20,20,70,2.9,0.3,15,0.1,11.4,8,0.7,1.6,NA,NA,NA,1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fécula de maíz,sin_grasa,2,cucharada,16,16,60,0,0,14.4,0,0,0,0,0,NA,NA,NA,1110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
